@HD	VN:1.0	SO:unsorted
@SQ	SN:comp0_c0_seq2	LN:831
@SQ	SN:comp1_c1_seq1	LN:1406
@SQ	SN:comp3_c0_seq1	LN:202
@SQ	SN:comp4_c0_seq1	LN:272
@SQ	SN:comp9_c0_seq1	LN:593
@SQ	SN:comp13_c0_seq1	LN:2026
@SQ	SN:comp14_c0_seq1	LN:948
@SQ	SN:comp15_c0_seq1	LN:241
@SQ	SN:comp19_c0_seq1	LN:679
@SQ	SN:comp22_c0_seq2	LN:451
@SQ	SN:comp25_c1_seq1	LN:206
@SQ	SN:comp29_c1_seq1	LN:377
@SQ	SN:comp32_c1_seq1	LN:277
@SQ	SN:comp33_c0_seq1	LN:1154
@SQ	SN:comp33_c1_seq1	LN:289
@SQ	SN:comp34_c0_seq1	LN:214
@SQ	SN:comp38_c0_seq1	LN:315
@SQ	SN:comp43_c0_seq1	LN:241
@SQ	SN:comp49_c0_seq1	LN:222
@SQ	SN:comp51_c0_seq1	LN:1199
@SQ	SN:comp51_c0_seq2	LN:1129
@SQ	SN:comp52_c0_seq1	LN:359
@SQ	SN:comp53_c0_seq1	LN:357
@SQ	SN:comp54_c0_seq1	LN:326
@SQ	SN:comp55_c0_seq1	LN:294
@SQ	SN:comp56_c0_seq1	LN:290
@SQ	SN:comp59_c0_seq1	LN:245
@SQ	SN:comp60_c0_seq1	LN:348
@SQ	SN:comp63_c0_seq1	LN:206
@SQ	SN:comp64_c1_seq1	LN:697
@SQ	SN:comp66_c0_seq1	LN:1297
@SQ	SN:comp71_c0_seq1	LN:203
@SQ	SN:comp73_c1_seq1	LN:282
@SQ	SN:comp74_c0_seq1	LN:471
@SQ	SN:comp75_c0_seq1	LN:887
@SQ	SN:comp80_c0_seq1	LN:474
@SQ	SN:comp82_c0_seq1	LN:732
@SQ	SN:comp83_c0_seq1	LN:234
@SQ	SN:comp84_c0_seq1	LN:712
@SQ	SN:comp86_c0_seq1	LN:270
@SQ	SN:comp87_c0_seq1	LN:236
@SQ	SN:comp89_c0_seq1	LN:686
@SQ	SN:comp94_c0_seq1	LN:558
@SQ	SN:comp99_c0_seq1	LN:424
@SQ	SN:comp99_c0_seq2	LN:267
@SQ	SN:comp100_c0_seq1	LN:242
@SQ	SN:comp102_c0_seq1	LN:594
@SQ	SN:comp102_c0_seq3	LN:292
@SQ	SN:comp102_c0_seq4	LN:237
@SQ	SN:comp103_c0_seq1	LN:1088
@SQ	SN:comp103_c1_seq1	LN:324
@SQ	SN:comp104_c0_seq1	LN:289
@SQ	SN:comp105_c0_seq1	LN:498
@SQ	SN:comp107_c0_seq1	LN:366
@SQ	SN:comp108_c0_seq1	LN:1841
@SQ	SN:comp108_c0_seq2	LN:856
@SQ	SN:comp110_c1_seq1	LN:554
@SQ	SN:comp111_c0_seq1	LN:526
@SQ	SN:comp111_c1_seq1	LN:288
@SQ	SN:comp112_c0_seq1	LN:1037
@SQ	SN:comp113_c0_seq1	LN:344
@SQ	SN:comp113_c1_seq1	LN:217
@SQ	SN:comp117_c0_seq1	LN:449
@SQ	SN:comp118_c0_seq1	LN:332
@SQ	SN:comp119_c0_seq1	LN:1392
@SQ	SN:comp120_c0_seq1	LN:264
@SQ	SN:comp124_c0_seq1	LN:337
@SQ	SN:comp127_c0_seq1	LN:1081
@SQ	SN:comp128_c1_seq1	LN:350
@SQ	SN:comp129_c0_seq1	LN:984
@SQ	SN:comp131_c1_seq1	LN:213
@SQ	SN:comp134_c0_seq1	LN:454
@SQ	SN:comp136_c1_seq1	LN:1474
@SQ	SN:comp137_c0_seq1	LN:857
@SQ	SN:comp141_c1_seq1	LN:331
@SQ	SN:comp144_c0_seq1	LN:475
@SQ	SN:comp145_c0_seq1	LN:501
@SQ	SN:comp148_c1_seq1	LN:216
@SQ	SN:comp149_c0_seq1	LN:241
@SQ	SN:comp151_c0_seq1	LN:317
@SQ	SN:comp152_c0_seq1	LN:467
@SQ	SN:comp153_c0_seq1	LN:320
@SQ	SN:comp157_c1_seq1	LN:394
@SQ	SN:comp159_c0_seq1	LN:370
@SQ	SN:comp160_c0_seq1	LN:458
@SQ	SN:comp160_c1_seq1	LN:407
@SQ	SN:comp162_c0_seq1	LN:326
@SQ	SN:comp163_c0_seq1	LN:231
@SQ	SN:comp164_c1_seq1	LN:824
@SQ	SN:comp165_c0_seq2	LN:409
